XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
179977.6338,2487985.117,143,142,73,13.93901395
179977.6338,2487985.117,143,105,80,514.7419902
179977.6338,2487985.117,143,169,85,243.6157899
248212.043,2487968.46,147,148,74,38.73391844
248185.7554,2487996.655,148,147,74,38.73391844
178404.8244,2488001.375,149,150,75,63.97261869
178431.0186,2487943.011,150,149,75,63.97261869
178861.1621,2488010.289,152,136,76,133.2971296
178861.1621,2488010.289,152,154,77,50.42275278
178861.1621,2488010.289,152,172,86,124.6222527
178861.1621,2488010.289,152,191,96,168.9847848
178881.6517,2487964.217,154,152,77,50.42275278
180971.1809,2487828.077,155,156,78,229.9257231
180837.9909,2488015.497,156,155,78,229.9257231
180459.9173,2488017.27,157,134,79,212.5658024
180459.9173,2488017.27,157,163,83,17.3790786
180459.9173,2488017.27,157,241,121,491.1439679
181275.4687,2488022.688,161,162,81,163.0445858
181275.4687,2488022.688,161,194,97,189.0378381
181275.4687,2488022.688,161,212,107,285.4276856
181147.4674,2487921.697,162,161,81,163.0445858
181147.4674,2487921.697,162,189,95,297.1209665
180448.6942,2488030.539,163,123,82,222.0686883
180448.6942,2488030.539,163,157,83,17.3790786
248929.7668,2488046.311,167,168,84,895.6248454
248213.6195,2487966.993,168,167,84,895.6248454
180200.6337,2488061.092,169,143,85,243.6157899
180200.6337,2488061.092,169,181,91,202.7890266
180200.6337,2488061.092,169,219,111,171.4658978
178974.5836,2488061.925,172,152,86,124.6222527
178974.5836,2488061.925,172,173,87,44.04910141
178974.5836,2488061.925,172,228,115,203.7009049
178977.4317,2488017.968,173,172,87,44.04910141
180797.0243,2488073.14,176,138,88,179.6375872
180797.0243,2488073.14,176,177,89,70.0221533
180797.0243,2488073.14,176,196,98,188.7793364
180837.588,2488016.064,177,176,89,70.0221533
180403.0405,2488092.102,180,142,90,434.1884367
180403.0405,2488092.102,180,204,102,205.7185992
180403.0405,2488092.102,180,278,139,494.4184589
180398.3532,2488105.047,181,169,91,202.7890266
180398.3532,2488105.047,181,209,105,201.5004055
180398.3532,2488105.047,181,249,126,341.3330616
245314.3739,2488117.833,183,75,92,609.513588
245314.3739,2488117.833,183,186,93,1179.009023
245314.3739,2488117.833,183,225,113,216.7963084
245314.3739,2488117.833,183,266,133,346.0964312
245292.6941,2486984.789,186,183,93,1179.009023
178345.4436,2488133.685,187,188,94,141.1367272
178345.4436,2488133.685,187,216,108,217.4447773
178345.4436,2488133.685,187,329,165,531.5972305
178403.2326,2488004.922,188,187,94,141.1367272
180968.6451,2488158.98,189,162,95,297.1209665
180968.6451,2488158.98,189,196,99,27.75038223
180968.6451,2488158.98,189,232,116,163.3075525
178795.6967,2488166.078,191,152,96,168.9847848
178795.6967,2488166.078,191,199,101,180.1026946
178795.6967,2488166.078,191,228,114,161.7662611
181161.8516,2488173.772,194,161,97,189.0378381
181161.8516,2488173.772,194,212,106,100.3374022
181161.8516,2488173.772,194,232,117,104.3036631
180951.8869,2488181.099,196,176,98,188.7793364
